Nummer,Boeking,Leverancier,Factuur_Datum,Factuur_Nummer,Totaal,Betaald,Laatst_Betaald_Op,Te_Betalen,B,Limietdatum
2025/00292,4/10/2024,A-P-M-CLAEN,30/09/2024,2024/076,435.6,435.6,1/10/2024,,,
2025/00293,4/10/2024,BTC BELGIAN TRANSLATION CENTRE,30/09/2024,2024/1036,4881.14,4881.14,1/10/2024,,,
2025/00294,4/10/2024,Seacom .be,28/09/2024,24/0106,350.9,350.9,3/10/2024,,,
2025/00295,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716776,166,166,3/10/2024,,,
2025/00296,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/10/2024,9727716775,196,196,3/10/2024,,,
2025/00297,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716774,226,226,3/10/2024,,,
2025/00298,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716773,269,269,3/10/2024,,,
2025/00299,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716772,237,237,3/10/2024,,,
2025/00300,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716771,246,246,3/10/2024,,,
2025/00301,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716770,276,276,3/10/2024,,,
2025/00302,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716769,166,166,3/10/2024,,,
2025/00303,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716767,232,232,3/10/2024,,,
2025/00304,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716766,175,175,3/10/2024,,,
2025/00305,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,97277116764,160,160,3/10/2024,,,
2025/00306,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716763,202,202,3/10/2024,,,
2025/00307,4/10/2024,LUMINUS - ELEC PRIVATIEF,26/09/2024,97277116761,196,196,3/10/2024,,,
2025/00308,4/10/2024,LUMINUS - LIFT 3,25/09/2024,8607658256,346,346,3/10/2024,,,
2025/00309,4/10/2024,LUMINUS - LIFT 1,25/09/2024,7353896535,376,376,3/10/2024,,,
2025/00310,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716782,253,253,3/10/2024,,,
2025/00311,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716781,228,228,3/10/2024,,,
2025/00312,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716780,215,215,3/10/2024,,,
2025/00313,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716778,296,296,3/10/2024,,,
2025/00314,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716777,155,155,3/10/2024,,,
2025/00315,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716788,188,188,3/10/2024,,,
2025/00316,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716787,198,198,3/10/2024,,,
2025/00317,4/10/2024,LUMINUS - ELEC PRIVATIEF,4/10/2024,9727716786,202,202,3/10/2024,,,
2025/00318,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716785,189,189,3/10/2024,,,
2025/00319,4/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904783,-299.5,-299.5,14/10/2024,,,
2025/00320,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716784,259,259,3/10/2024,,,
2025/00321,4/10/2024,LUMINUS - ELEC PRIVATIEF,25/09/2024,9727716783,172,172,3/10/2024,,,
2025/00322,4/10/2024,LUMINUS - CONCIERGERIE,25/09/2024,9727716759,676,676,3/10/2024,,,
2025/00323,4/10/2024,KLEINE UITGAVEN,4/10/2024,2025/00323,19.5,19.5,4/10/2024,,,
2025/00324,4/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904779,97.49,97.49,24/10/2024,,,
2025/00325,4/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904774,92.32,92.32,24/10/2024,,,
2025/00326,5/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904762,-204.64,-204.64,14/10/2024,,,
2025/00327,5/10/2024,LUMINUS - D.VERL.,5/10/2024,6793975216,-1083.16,-1083.16,14/10/2024,,,
2025/00328,5/10/2024,LUMINUS - LIFT 3,28/09/2024,3433835116,-159.16,-159.16,14/10/2024,,,
2025/00329,5/10/2024,LUMINUS - LIFT 2,28/09/2024,3433835113,-567.02,-567.02,14/10/2024,,,
2025/00330,5/10/2024,LUMINUS - LIFT 1,28/09/2024,3433835112,-177.44,-177.44,14/10/2024,,,
2025/00331,25/10/2024,A-P-M-CLAEN,18/10/2024,2024/080,84.7,84.7,21/10/2024,,,
2025/00332,25/10/2024,VEOLIA,25/10/2024,2104503703,680.06,680.06,21/10/2024,,,
2025/00333,25/10/2024,VEOLIA,25/10/2024,credin2180116109,-955.4,-955.4,21/10/2024,,,
2025/00334,25/10/2024,VEOLIA,31/08/2024,2104474515,2217.01,2217.01,21/10/2024,,,
2025/00335,25/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,95939004780,-233.09,-233.09,14/10/2024,,,
2025/00336,25/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904777,-342.81,-342.81,14/10/2024,,,
2025/00337,25/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904788,-179.07,-179.07,14/10/2024,,,
2025/00338,25/10/2024,LEFEVRE LIEVEN,30/09/2024,20240531,685.29,685.29,,,,
2025/00339,25/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904781,-275.6,-275.6,14/10/2024,,,
2025/00340,25/10/2024,TELENET,16/10/2024,243803620956,91.89,91.89,21/10/2024,,,
2025/00341,25/10/2024,LUMINUS - GAS,7/10/2024,6087638037,1451.35,1451.35,21/10/2024,,,
2025/00342,25/10/2024,STEYAERT Geert,7/10/2024,85,1087.56,1087.56,21/10/2024,,,
2025/00343,25/10/2024,DEPOORTER-DEJAEGHERE,7/10/2024,22501,968,968,21/10/2024,,,
2025/00344,25/10/2024,DEPOORTER-DEJAEGHERE,30/09/2024,22493,12,12,21/10/2024,,,
2025/00345,25/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904766,-242.05,-242.05,14/10/2024,,,
2025/00346,26/10/2024,KLEINE UITGAVEN,22/10/2024,2025/00346,179.85,179.85,22/10/2024,,,
2025/00347,26/10/2024,KLEINE UITGAVEN,9/10/2024,2025/00347,54.55,54.55,23/10/2024,,,
2025/00348,26/10/2024,ELEKTRO POWER,22/10/2010,20240290,260.15,260.15,24/10/2024,,,
2025/00349,26/10/2024,Karchter nv,25/10/2024,2025/00349,46,46,26/10/2024,,,
2025/00350,26/10/2024,GEMEENTE MIDDELKERKE,21/10/2024,2025/00350,1134,1134,21/10/2024,,,
2025/00351,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904787,92.67,92.67,24/10/2024,,,
2025/00352,28/10/2024,LUMINUS - D.VERL.,28/09/2024,3433835111,784.88,784.88,24/10/2024,,,
2025/00353,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904746,-100.85,-100.85,14/10/2024,,,
2025/00354,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/10/2024,9593904775,-136.42,-136.42,14/10/2024,,,
2025/00355,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904784,-173.3,-173.3,14/10/2024,,,
2025/00356,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,6793975218,-190.15,-190.15,14/10/2024,,,
2025/00357,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/10/2024,9593904763,-126.11,-126.11,14/10/2024,,,
2025/00358,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/10/2024,9593904765,-154.43,-154.43,14/10/2024,,,
2025/00359,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904769,-326.41,-326.41,14/10/2024,,,
2025/00360,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904770,-274.86,-274.86,14/10/2024,,,
2025/00361,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/10/2024,9593904785,-206.55,-206.55,14/10/2024,,,
2025/00363,28/10/2024,LUMINUS - ELEC PRIVATIEF,28/10/2024,9593904772,-315.55,-315.55,14/10/2024,,,
2025/00364,28/10/2024,GROEP S,28/10/2024,018307/77750,988.9,988.9,1/10/2024,,,
2025/00365,28/10/2024,GROEP S,30/09/2024,018307/77748,0.56,0.56,14/10/2024,,,
2025/00366,28/10/2024,GROEP S,30/09/2024,018307/77749,128.42,128.42,1/10/2024,,,
2025/00367,28/10/2024,Karchter nv,25/10/2024,132425,1034,1034,26/10/2024,,,
2025/00368,31/10/2024,PRIMA Woonidee,31/10/2024,776,696,696,23/10/2024,,,
2025/00369,1/11/2024,EQUANS,29/10/2024,4801570993,1331.34,1331.34,31/10/2024,,,
2025/00370,1/11/2024,A-P-M-CLAEN,29/10/2024,2024/092,151.25,151.25,31/10/2024,,,
2025/00371,1/11/2024,KLEINE UITGAVEN,1/11/2024,2025/00371,105.66,105.66,1/11/2024,,,
2025/00372,2/11/2024,Franne Nagels,1/11/2024,2025/00372,220,220,1/11/2024,,,
2025/00373,2/11/2024,KLEINE UITGAVEN,31/10/2024,2025/00373,70.82,70.82,31/10/2024,,,
2025/00374,2/11/2024,A-P-M-CLAEN,7/11/2024,2025/00374,151.25,151.25,1/11/2024,,,
2025/00375,2/11/2024,AB CLAENING,2/11/2024,2025/160,275.88,275.88,4/11/2024,,,
2025/00376,2/11/2024,GROEP S,2/11/2024,018307/84989,830.04,830.04,29/10/2024,,,
2025/00377,2/11/2024,GROEP S,2/11/2024,018307/84990,129.69,129.69,30/12/2024,,,
2025/00378,5/11/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904771,-263.24,-263.24,14/10/2024,,,
2025/00379,5/11/2024,LUMINUS - ELEC PRIVATIEF,5/11/2024,9593904782,-145.98,-145.98,14/10/2024,,,
2025/00380,5/11/2024,LUMINUS - ELEC PRIVATIEF,5/11/2024,9593904773,-233.31,-233.31,14/10/2024,,,
2025/00382,5/11/2024,LUMINUS - ELEC PRIVATIEF,28/09/2024,9593904768,-143.56,-143.56,14/10/2024,,,
2025/00383,9/11/2024,EVER CLEAN.,3/11/2024,2024000727,32.72,32.72,4/11/2024,,,
2025/00384,9/11/2024,A-P-M-CLAEN,7/11/2024,2024/095,1694,1694,8/11/2024,,01/04/2025,
2025/00385,9/11/2024,KLEINE UITGAVEN,9/11/2024,2025/00385,197.33,197.33,7/11/2024,,,
2025/00386,9/11/2024,Karchter nv,9/11/2024,332122822,5239.3,5239.3,8/11/2024,,,
2025/00387,9/11/2024,LUMINUS - GAS,9/11/2024,9727771404,6640.92,6640.92,11/11/2024,,,
2025/00388,12/11/2024,EVER CLEAN.,9/11/2024,2024000747,359.89,359.89,12/11/2024,,,
2025/00389,12/11/2024,DEFEVER,10/11/2024,20/241761,177.3,177.3,12/11/2024,,,
2025/00390,14/11/2024,Odrada meubelen,14/11/2024,2025/00390,654,654,14/11/2024,,,
2025/00391,14/11/2024,VEOLIA,14/11/2024,2104536644,365.96,365.96,14/11/2024,,,
2025/00392,26/11/2024,FLORALUX,26/11/2024,9054,389.57,389.57,17/11/2024,,,
2025/00393,26/11/2024,BRICO,18/11/2024,2025/00393,120.58,120.58,18/11/2024,,,
2025/00394,26/11/2024,DEFEVER,26/11/2024,184981,189,189,18/11/2024,,,
2025/00395,29/11/2024,KLEINE UITGAVEN,9/11/2024,2025/00395,120,120,26/11/2024,,,
2025/00396,29/11/2024,TELENET,29/11/2024,243803858564,91.89,91.89,25/11/2024,,,
2025/00397,29/11/2024,KLEINE UITGAVEN,19/11/2024,2025/11/2024,45.6,45.6,19/11/2024,,,
2025/00398,29/11/2024,EURO SCHOP,29/11/2024,2025/00398,119.2,119.2,24/11/2024,,,
2025/00399,29/11/2024,EURO SCHOP,20/11/2024,2025/00399,65.1,65.1,20/11/2024,,,
2025/00400,29/11/2024,AVA Papierwaren,21/11/2024,2025/00400,54.78,54.78,23/11/2024,,,
2025/00401,30/11/2024,EURO SCHOP,30/11/2024,2025/00401,116.1,116.1,27/11/2024,,,
2025/00402,30/11/2024,BRICO,20/11/2024,2025/00402,37.2,37.2,20/11/2024,,,
2025/00403,30/11/2024,A MODE,27/11/2024,257007620,358.48,358.48,28/11/2024,,,
2025/00404,30/11/2024,DAKWERKEN LEFEVRE Danny,28/11/2024,302,8574.97,8574.97,14/03/2025,,,
2025/00405,30/11/2024,EQUANS,27/11/2024,4801572873,1326.79,1326.79,29/11/2024,,,
2025/00406,5/12/2024,HUURLAND,5/12/2024,0016053/71723,107.9,107.9,23/09/2024,,,
2025/00407,07/01/2025,DECATHLON,27/11/2024,1240042,48,48,27/11/2024,,,
2025/00408,07/01/2025,KLEINE UITGAVEN,2/12/2024,202500408,52.75,52.75,2/12/2024,,,
2025/00409,07/01/2025,KLEINE UITGAVEN,30/11/2024,202500409,64.61,64.61,1/12/2024,,,
2025/00410,07/01/2025,DVV CLAENING,30/11/2024,2024/137,121,121,20/12/2024,,30/11/2024,
2025/00411,07/01/2025,GROEP S,26/11/2024,018307/91762,1148.32,1148.32,27/11/2024,,26/12/2024,
2025/00412,07/01/2025,GROEP S,26/11/2024,018307/91760,129.69,129.69,29/10/2024,,26/12/2024,
2025/00413,07/01/2025,GROEP S,26/11/2024,018307/91761,23.09,23.09,27/11/2024,,,
2025/00414,07/01/2025,SARRAZIJN,21/02/2024,2024640,76.32,76.32,4/12/2024,,,
2025/00415,07/01/2025,AXA - verzekeringen,6/12/2024,2025/00415,1847.76,1847.76,19/12/2024,,,
2025/00416,07/01/2025,LEFEVRE LIEVEN,30/12/2024,20240730,310.79,310.79,5/12/2024,,,
2025/00417,07/01/2025,KLEINE UITGAVEN,5/12/2024,2025/00417,24.75,24.75,5/12/2024,,,
2025/00418,07/01/2025,FARYS,1/12/2024,1808725948,7599,7599,19/12/2024,,,
2025/00419,07/01/2025,A-P-M-CLAEN,2/12/2024,2024/110,847,847,6/12/2024,,,
2025/00420,07/01/2025,TELENET,16/12/2024,24304100473,91.89,91.89,19/12/2024,,,
2025/00421,07/01/2025,LUMINUS - LIFT 2,11/12/2024,847017924,379,379,19/12/2024,,,
2025/00422,07/01/2025,LUMINUS - GAS,8/12/2024,9033963452,7799.61,7799.61,19/12/2024,,,
2025/00423,07/01/2025,KLEINE UITGAVEN,19/12/2024,2025/00423,52.31,52.31,19/12/2024,,,
2025/00424,07/01/2025,A-P-M-CLAEN,20/12/2024,2024/115,895.4,895.4,20/12/2024,,,
2025/00425,09/01/2025,VIVIUM,7/12/2024,320054039,181.61,181.61,20/12/2024,,,
2025/00426,09/01/2025,Colorpoint,18/12/2025,24/19548,200.23,200.23,18/12/2024,,,
2025/00427,09/01/2025,Colorpoint,03/01/2025,2500046,386.95,386.95,03/01/2025,,,
2025/00428,09/01/2025,IMMO BEACH - ereloon beheer,31/12/2025,24/00044,290.4,290.4,03/01/2025,,,
2025/00429,09/01/2025,KLEINE UITGAVEN,5/12/2024,2025/00429,122.5,122.5,6/12/2024,,,
2025/00430,09/01/2025,KLEINE UITGAVEN,09/01/2025,2025/00430,31.28,31.28,23/12/2024,,,
2025/00431,09/01/2025,Weemaes,18/12/2024,2025/1783,1905,1905,24/12/2024,,,
2025/00432,09/01/2025,ACA KEURING,17/12/2024,24031020,181.5,181.5,19/11/2024,,,
2025/00433,09/01/2025,Certi- Check,22/12/2024,1517,527.95,527.95,23/12/2024,,,
2025/00434,09/01/2025,A-P-M-CLAEN,23/12/2024,2024/117,193.6,193.6,23/12/2024,,,
2025/00435,09/01/2025,Colorpoint,09/01/2025,24/19697,499.68,499.68,23/12/2024,,,
2025/00436,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652320,148,148,30/12/2024,,,
2025/00437,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652330,165,165,30/12/2024,,,
2025/00438,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652319,168,168,30/12/2024,,,
2025/00439,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652308,177,177,30/12/2024,,,
2025/00440,09/01/2025,KLEINE UITGAVEN,23/12/2024,2025/00440,28.85,28.85,23/12/2024,,,
2025/00441,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2025,6647652331,129,129,30/12/2024,,,
2025/00442,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2025,6647652307,133,133,30/12/2024,,,
2025/00443,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652316,172,172,30/12/2024,,,
2025/00444,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652314,171,171,30/12/2024,,,
2025/00445,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652332,134,134,30/12/2024,,,
2025/00446,09/01/2025,LUMINUS - ELEC PRIVATIEF,12/01/2025,7487811292,129,129,30/12/2024,,,
2025/00447,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652328,160,160,30/12/2024,,,
2025/00448,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652317,158,158,30/12/2024,,,
2025/00449,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652315,119,119,30/12/2024,,,
2025/00450,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2025,6647652311,196,196,30/12/2024,,,
2025/00451,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652310,116,116,30/12/2024,,,
2025/00452,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652318,153,153,30/12/2024,,,
2025/00453,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652324,184,184,30/12/2024,,,
2025/00454,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,7647652309,136,136,30/12/2024,,,
2025/00455,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6646652321,152,152,30/12/2024,,,
2025/00456,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652325,134,134,30/12/2024,,,
2025/00457,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652329,122,122,30/12/2024,,,
2025/00458,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,7487811291,113,113,30/12/2024,,,
2025/00459,09/01/2025,LUMINUS - LIFT 3,09/01/2025,7913967301,288,288,30/12/2024,,,
2025/00460,09/01/2025,A-P-M-CLAEN,25/12/2024,2024/121,363,363,30/12/2024,,,
2025/00461,09/01/2025,A-P-M-CLAEN,09/01/2025,2024/122,84.7,84.7,30/12/2024,,,
2025/00462,09/01/2025,EQUANS,09/01/2025,4801575687,17009.58,17009.58,30/12/2024,,,
2025/00463,09/01/2025,LUMINUS - D.VERL.,25/12/2024,3993978532,1708,1708,30/12/2024,,,
2025/00464,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652323,114,114,30/12/2024,,,
2025/00465,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652327,150,150,30/12/2024,,,
2025/00466,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652313,151,151,30/12/2024,,,
2025/00467,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652326,128,128,30/12/2024,,,
2025/00468,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2025,6647652312,123,123,30/12/2024,,,
2025/00469,09/01/2025,LUMINUS - ELEC PRIVATIEF,25/12/2024,6647652322,120,120,30/12/2024,,,
2025/00470,09/01/2025,LUMINUS - ALG DELEN,25/12/2024,3993978533,3951,3951,30/12/2024,,,
2025/00471,09/01/2025,LUMINUS - LIFT 1,25/12/2024,3993978531,311,311,30/12/2024,,,
2025/00472,09/01/2025,VEOLIA,26/12/2024,cn2180117935,-540.01,-540.01,30/12/2024,,,
2025/00473,09/01/2025,VEOLIA,30/11/2024,2104566291,1178.53,1178.53,30/12/2024,,,
2025/00474,09/01/2025,GROEP S,24/12/2024,018307/101738,1069.55,1069.55,30/12/2024,,,
2025/00475,09/01/2025,GROEP S,24/12/2024,018307/101740,129.69,129.69,27/11/2024,,,
2025/00476,09/01/2025,GROEP S,24/12/2024,018307/101739,3.55,3.55,30/12/2024,,,
2025/00477,09/01/2025,GASTRO SERVICE,06/01/2025,c 500039,988.57,988.57,06/01/2025,,,
2025/00478,09/01/2025,KLEINE UITGAVEN,04/01/2025,2025/00478,75.72,75.72,04/01/2025,,,
2025/00479,09/01/2025,Colorpoint,16/01/2025,25/00153,75.32,75.32,06/01/2025,,,
2025/00480,09/01/2025,LUMINUS - CONCIERGERIE,25/12/2024,6647652305,320,320,30/12/2024,,,
2025/00481,09/01/2025,A-P-M-CLAEN,04/01/2025,2025/003,363,363,06/01/2025,,,
2025/00482,09/01/2025,KLEINE UITGAVEN,09/01/2025,2025/00482,2.5,2.5,03/01/2025,,,
2025/00483,14/01/2025,ELEKTRO POWER,10/01/2025,20240372,3417.57,3417.57,14/01/2025,,,
2025/00484,14/01/2025,LUMINUS - GAS,10/01/2025,3567839050,11054.95,11054.95,14/01/2025,,,
2025/00485,14/01/2025,KLEINE UITGAVEN,10/01/2025,202500485,39.91,39.91,10/01/2025,,,
2025/00486,14/01/2025,KLEINE UITGAVEN,08/01/2025,20250486,62.38,62.38,08/01/2025,,,
2025/00487,14/01/2025,A-P-M-CLAEN,10/01/2025,2025/007,363,363,13/01/2025,,,
2025/00488,20/01/2025,IMMO BEACH - ereloon beheer,20/01/2024,24/00011,142.78,142.78,03/02/2025,,,
2025/00489,03/02/2025,PRIMA Woonidee,16/01/2025,13460,370,370,20/01/2025,,,
2025/00490,03/02/2025,TECHEM Caloribel,16/01/2025,73509,2395.2,2395.2,20/01/2025,,,
2025/00491,03/02/2025,TECHEM Caloribel,16/01/2025,73080,2609.92,2609.92,20/01/2025,,,
2025/00492,03/02/2025,TELENET,15/01/2025,253800142445,91.89,91.89,20/01/2025,,,
2025/00493,03/02/2025,VEOLIA,31/12/2024,2104594719,401.43,401.43,16/01/2025,,,
2025/00494,03/02/2025,KLEINE UITGAVEN,16/01/2025,202500494,20.59,20.59,17/01/2025,,,
2025/00496,03/02/2025,TELENET,03/02/2025,24910043914,62.32,62.32,17/01/2025,,,
2025/00497,03/02/2025,TELENET,01/09/2025,24810654880,8214.11,8214.11,16/01/2025,,,
2025/00498,03/02/2025,TELENET,10/09/2024,24910654862,2340.85,2340.85,17/01/2025,,,
2025/00499,03/02/2025,Colorpoint,17/01/2025,2500714,106.99,106.99,17/01/2025,,,
2025/00500,03/02/2025,KLEINE UITGAVEN,17/01/2025,2025/00500,58.46,58.46,17/01/2025,,,
2025/00501,03/02/2025,Karchter nv,17/01/2025,202500501,200,200,18/01/2025,,,
2025/00502,03/02/2025,Colorpoint,21/01/2025,2500776,84.91,84.91,21/01/2025,,,
2025/00503,03/02/2025,Seacom .be,19/01/2025,240253,1403,1403,19/01/2025,,"1.403,00",19/01/2025
2025/00504,03/02/2025,KLEINE UITGAVEN,22/01/2025,202500504,19.55,19.55,22/01/2025,,,
2025/00505,03/02/2025,AVA Papierwaren,22/01/2025,202500505,66.02,66.02,22/01/2025,,,
2025/00506,03/02/2025,Colorpoint,22/01/2025,2500824,89.44,89.44,22/01/2025,,,
2025/00507,03/02/2025,LUMINUS - ALG DELEN,23/01/2025,1015865447,-2343.44,-2343.44,07/02/2025,,,
2025/00508,03/02/2025,Colorpoint,07/02/2025,2501010,102.75,102.75,28/01/2025,,,
2025/00509,03/02/2025,BRICO,24/01/2025,202500509,70.4,70.4,24/01/2025,,,
2025/00510,03/02/2025,KLEINE UITGAVEN,27/01/2025,2025/00510,176.27,176.27,29/01/2025,,,
2025/00511,03/02/2025,A-P-M-CLAEN,23/01/2025,2025014,363,363,23/01/2025,,,
2025/00512,03/02/2025,LUMINUS - ELEC PRIVATIEF,28/01/2025,7914000033,-131.13,-131.13,13/02/2025,,,
2025/00513,03/02/2025,LUMINUS - CONCIERGERIE,25/01/2025,6513983636,-1191.78,-1191.78,10/02/2025,,,
2025/00514,03/02/2025,LUMINUS - ELEC PRIVATIEF,25/01/2025,6513983637,-155.6,-155.6,10/02/2025,,,
2025/00515,03/02/2025,GROEP S,27/01/2025,2025/0003,20.87,20.87,29/01/2025,,,
2025/00516,03/02/2025,GROEP S,27/01/2025,2025/0002,1134.67,1134.67,29/01/2025,,,
2025/00517,03/02/2025,GROEP S,27/01/2025,2025/0001,133.84,133.84,29/01/2025,,,
2025/00518,04/02/2025,EQUANS,28/01/2025,5801551087,1339.51,1339.51,03/02/2025,,,
2025/00519,04/02/2025,IMMO BEACH - ereloon beheer,30/01/2025,25/0003,142.78,142.78,23/01/2025,,,
2025/00520,04/02/2025,KLEINE UITGAVEN,04/02/2025,2025/00520,175.48,175.48,14/01/2025,,,
2025/00521,04/02/2025,BRANDEBEVEILIGINGSCHOP,15/01/2025,56893,497.56,497.56,14/01/2025,,,
2025/00522,04/02/2025,KLEINE UITGAVEN,04/02/2025,202500522,102.8,102.8,03/02/2025,,,
2025/00523,04/02/2025,KLEINE UITGAVEN,23/01/2025,202500523,134.85,134.85,24/01/2025,,,
2025/00524,07/02/2025,KLEINE UITGAVEN,28/01/2025,202500524,268.85,268.85,29/01/2025,,,
2025/00525,07/02/2025,KLEINE UITGAVEN,25/01/2025,202500525,100,100,29/01/2025,,,
2025/00526,07/02/2025,Karchter nv,04/02/2025,202500526,124.87,124.87,05/02/2025,,,
2025/00527,07/02/2025,KLEINE UITGAVEN,07/02/2025,2025/00527,130.34,130.34,04/02/2025,,,
2025/00528,07/02/2025,KLEINE UITGAVEN,04/02/2025,20250528,11.34,11.34,04/02/2025,,,
2025/00529,07/02/2025,Houthandel Tavernier,06/02/2025,25020005,276.85,276.85,06/02/2025,,,
2025/00530,07/02/2025,EQUANS,20/12/2024,4801574909,1330.04,1330.04,07/02/2025,,20/12/2024,
2025/00531,07/02/2025,DEPOORTER-DEJAEGHERE,31/12/2024,330,498.2,498.2,13/01/2025,,,
2025/00532,08/02/2025,VINCOTTE BELGIUM,30/01/2025,925003199,621.52,621.52,10/02/2025,,,
2025/00533,08/02/2025,Aaron Dehottay A-P-M CLAEN,08/02/2025,2025/001,363,363,10/02/2025,,,
2025/00534,13/02/2025,ACA KEURING,12/02/2025,25003311,193.6,193.6,11/02/2025,,,
2025/00535,13/02/2025,ACA KEURING,13/02/2025,25002867,193.6,193.6,13/02/2025,,,
2025/00536,14/02/2025,KLEINE UITGAVEN,10/02/2025,2025/00536,142.16,142.16,10/02/2025,,,
2025/00537,14/02/2025,Colorpoint,10/02/2025,2501695,225.63,225.63,10/02/2025,,,
2025/00538,14/02/2025,KLEINE UITGAVEN,12/02/2024,6368,68.23,68.23,10/02/2025,,,
2025/00539,14/02/2025,EVERCLEAN4U,13/02/2025,25700101,390.08,390.08,13/02/2025,,,
2025/00540,14/02/2025,GASTRO SERVICE,14/02/2025,253530,21.78,21.78,13/02/2025,,,
2025/00541,14/02/2025,MENSURA,14/02/2025,25028425,236.52,236.52,13/02/2025,,,
2025/00542,15/02/2025,GEMEENTE MIDDELKERKE,27/12/2024,202500542,-270,-270,27/12/2024,,,
2025/00543,17/02/2025,IMMO BEACH - ereloon beheer,21/01/2025,25/00001,66247.68,35703.9,14/03/2025,"30.543,78",21/01/2025,
2025/00544,18/02/2025,VEOLIA,31/01/2025,2104624933,678.77,678.77,17/02/2025,,,
